batch_size,microbatch_size,num_microbatches,pulp_split,mem_limits,data_split,predicted_ms,measured_ms,error_pct
32,4,8,25/6/1,25/12/12,18/9/5,88484.9,186700.0,-52.6
64,32,2,17/8/7,17/8/8,18/9/5,24613.8,102554.6,-76.0
64,16,4,17/8/7,17/8/8,18/9/5,49227.5,134276.2,-63.3
64,8,8,17/8/7,17/8/8,18/9/5,98455.1,210254.2,-53.2
32,16,2,25/6/1,25/12/12,18/10/4,22121.2,66849.6,-66.9
32,8,4,25/6/1,25/12/12,18/10/4,44242.5,104582.2,-57.7
32,4,8,25/6/1,25/12/12,18/10/4,88484.9,186526.9,-52.6
32,16,2,25/6/1,25/12/12,18/11/3,22121.2,66536.3,-66.8
32,8,4,25/6/1,25/12/12,18/11/3,44242.5,104279.1,-57.6
32,4,8,25/6/1,25/12/12,18/11/3,88484.9,185718.1,-52.4
32,16,2,25/6/1,25/12/12,18/12/2,22121.2,66776.1,-66.9
32,8,4,25/6/1,25/12/12,18/12/2,44242.5,104378.4,-57.6
32,4,8,25/6/1,25/12/12,18/12/2,88484.9,186052.0,-52.4
32,16,2,25/6/1,25/12/12,19/1/12,22121.2,65392.8,-66.2
32,8,4,25/6/1,25/12/12,19/1/12,44242.5,102869.8,-57.0
32,4,8,25/6/1,25/12/12,19/1/12,88484.9,181909.4,-51.4
32,16,2,25/6/1,25/12/12,19/2/11,22121.2,65627.2,-66.3
32,8,4,25/6/1,25/12/12,19/2/11,44242.5,102927.9,-57.0
32,4,8,25/6/1,25/12/12,19/2/11,88484.9,184190.3,-52.0
32,16,2,25/6/1,25/12/12,19/3/10,22121.2,65463.1,-66.2
32,8,4,25/6/1,25/12/12,19/3/10,44242.5,102565.0,-56.9
32,4,8,25/6/1,25/12/12,19/3/10,88484.9,184433.6,-52.0
32,16,2,25/6/1,25/12/12,19/4/9,22121.2,65496.0,-66.2
32,8,4,25/6/1,25/12/12,19/4/9,44242.5,103312.1,-57.2
32,4,8,25/6/1,25/12/12,19/4/9,88484.9,184821.1,-52.1
64,32,2,17/8/7,17/8/8,19/4/9,24613.8,101262.3,-75.7
64,16,4,17/8/7,17/8/8,19/4/9,49227.5,132114.5,-62.7
64,8,8,17/8/7,17/8/8,19/4/9,98455.1,205191.7,-52.0
32,16,2,25/6/1,25/12/12,19/5/8,22121.2,65543.9,-66.2
32,8,4,25/6/1,25/12/12,19/5/8,44242.5,102882.6,-57.0
32,4,8,25/6/1,25/12/12,19/5/8,88484.9,184323.0,-52.0
64,32,2,17/8/7,17/8/8,19/5/8,24613.8,100710.5,-75.6
64,16,4,17/8/7,17/8/8,19/5/8,49227.5,132092.4,-62.7
64,8,8,17/8/7,17/8/8,19/5/8,98455.1,204794.9,-51.9
32,16,2,25/6/1,25/12/12,19/6/7,22121.2,65465.0,-66.2
32,8,4,25/6/1,25/12/12,19/6/7,44242.5,102591.2,-56.9
32,4,8,25/6/1,25/12/12,19/6/7,88484.9,184093.9,-51.9
