20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_gi5gb_mb,avg_gi5gb_mb,total_latency_ms,status
13,9,5,5,32,2,16,512,2072,1567,,timeout
13,9,5,5,64,32,2,512,4854,3507,,OOM_rank3
13,9,5,5,64,16,4,512,4854,3499,,OOM_rank3
13,9,5,5,64,8,8,512,4858,3594,,OOM_rank3
13,9,5,5,64,4,16,512,2120,1567,,timeout
13,9,5,5,64,2,32,512,2104,1525,,timeout
13,9,6,4,32,16,2,512,4854,3429,94367.953125,ok
13,9,6,4,32,8,4,512,4784,3462,147894.390625,ok
13,9,6,4,32,4,8,512,4764,3580,259064.9375,ok
13,9,6,4,32,2,16,512,2458,1775,,timeout
13,9,6,4,64,32,2,512,4856,3465,,OOM_rank2
13,9,6,4,64,16,4,512,4856,3613,,OOM_rank2
13,9,6,4,64,8,8,512,4856,3809,,OOM_rank2
13,9,6,4,64,4,16,512,2506,1819,,timeout
13,9,6,4,64,2,32,512,2490,1826,,timeout
13,10,3,6,32,16,2,512,4750,2417,92205.546875,ok
13,10,3,6,32,8,4,512,4652,2389,144528.8125,ok
13,10,3,6,32,4,8,512,3266,2041,253600.609375,ok
13,10,3,6,32,2,16,512,1300,1002,,timeout
13,10,3,6,64,32,2,512,4822,2305,,OOM_rank3
13,10,3,6,64,16,4,512,4600,2389,,OOM_rank3
13,10,3,6,64,8,8,512,4324,2286,,OOM_rank3
13,10,3,6,64,4,16,512,1348,1030,,timeout
13,10,3,6,64,2,32,512,1332,1022,,timeout
13,10,4,5,32,16,2,512,4832,2848,92235.09375,ok
13,10,4,5,32,8,4,512,4630,2879,144706.5,ok
13,10,4,5,32,4,8,512,4292,2662,253574.296875,ok
13,10,4,5,32,2,16,512,1686,1266,,timeout
13,10,4,5,64,32,2,512,4822,3067,,OOM_rank3
13,10,4,5,64,16,4,512,4820,3159,,OOM_rank3
13,10,4,5,64,8,8,512,4790,3187,,OOM_rank3
13,10,4,5,64,4,16,512,1734,1304,,timeout
13,10,4,5,64,2,32,512,1718,1300,,timeout
13,10,5,4,32,16,2,512,4830,3157,92133.015625,ok
13,10,5,4,32,8,4,512,4652,3230,144563.453125,ok
13,10,5,4,32,4,8,512,4598,3113,253646.4375,ok
13,10,5,4,32,2,16,512,2072,1562,,timeout
13,10,5,4,64,32,2,512,4864,3644,,OOM_rank2
13,10,5,4,64,16,4,512,4848,3632,,OOM_rank2
13,10,5,4,64,8,8,512,4858,3683,,OOM_rank2
13,10,5,4,64,4,16,512,2120,1565,,timeout
13,10,5,4,64,2,32,512,2104,1542,,timeout
13,10,6,3,32,16,2,512,4854,3427,92232.25,ok
13,10,6,3,32,8,4,512,4838,3450,146596.890625,ok
13,10,6,3,32,4,8,512,4764,3578,257927.828125,ok
