20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_20gb_mb,peak_rank1_10gb_mb,peak_rank2_5gb_mb,peak_rank3_5gb_mb,avg_rank0_20gb_mb,avg_rank1_10gb_mb,avg_rank2_5gb_mb,avg_rank3_5gb_mb,total_latency_ms,status
17,8,4,3,16,8,2,512,8458,3965,2044,1882,6307,3200,1701,1546,61436.94140625,ok
17,8,4,3,16,4,4,512,8518,3989,2044,2138,6963,3416,1782,1616,120154.1796875,ok
17,8,4,3,16,2,8,512,8614,4019,2064,2138,7466,3584,1857,1681,229608.25,ok
17,8,4,3,8,4,2,512,8110,3797,1948,1882,6120,3116,1638,1509,60422.39453125,ok
17,8,4,3,8,2,4,512,8136,3793,1946,1882,6769,3331,1735,1583,117734.8515625,ok
17,8,5,2,64,32,2,512,19534,9215,4528,2086,9218,4479,2708,1424,75671.40625,ok
17,8,5,2,64,16,4,512,12938,6105,3830,1886,8465,4149,2647,1424,129930.203125,ok
17,8,5,2,64,8,8,512,10702,5029,3188,1718,8689,4171,2648,1431,241946.171875,ok
17,8,5,2,64,4,16,512,10966,5141,3252,1672,9124,4341,2754,1469,467481.03125,ok
17,8,5,2,64,2,32,512,11450,5389,3404,1726,9532,4510,2845,1501,923636.1875,ok
17,8,5,2,32,16,2,512,10308,4841,3028,1718,6835,3443,2224,1248,66321.1640625,ok
17,8,5,2,32,8,4,512,9206,4311,2728,1462,7323,3578,2295,1275,121447.4609375,ok
17,8,5,2,32,4,8,512,9334,4373,2752,1718,7876,3779,2400,1313,234517.0625,ok
17,8,5,2,32,2,16,512,9566,4477,2828,1718,8301,3943,2494,1348,459304.375,ok
17,8,5,2,16,8,2,512,8458,3965,2494,1718,6306,3193,2064,1170,61240.0703125,ok
17,8,5,2,16,4,4,512,8518,3989,2512,1462,6952,3412,2179,1215,119140.03125,ok
17,8,5,2,16,2,8,512,8614,4019,2540,1718,7489,3596,2277,1257,230353.15625,ok
17,8,5,2,8,4,2,512,8110,3797,2392,1718,6102,3079,1995,1130,60276.453125,ok
17,8,5,2,8,2,4,512,8136,3793,2396,1718,6762,3323,2118,1182,116902.6640625,ok
17,9,3,3,64,32,2,512,19636,9673,3136,3422,9068,4901,1724,1950,72479.03125,ok
17,9,3,3,64,16,4,512,12938,6845,2368,2626,8425,4601,1671,1907,127615.484375,ok
17,9,3,3,64,8,8,512,10702,5625,1996,2246,8685,4650,1676,1918,235975.796875,ok
17,9,3,3,64,4,16,512,10966,5753,2028,2284,9136,4850,1733,1983,457137.75,ok
17,9,3,3,64,2,32,512,11450,6033,2116,2370,9525,5036,1783,2035,903608.1875,ok
17,9,3,3,32,16,2,512,10308,5421,1886,2138,6828,3824,1426,1643,64457.8828125,ok
17,9,3,3,32,8,4,512,9206,4825,1726,1982,7312,3990,1461,1695,118452.234375,ok
17,9,3,3,32,4,8,512,9334,4889,1720,1976,7862,4210,1514,1755,229781.015625,ok
17,9,3,3,32,2,16,512,9566,5009,1764,2138,8283,4395,1565,1814,446540.28125,ok
17,9,3,3,16,8,2,512,8458,4429,1580,1882,6367,3184,1331,1554,60604.3359375,ok
17,9,3,3,16,4,4,512,8518,4457,1576,2138,6953,3803,1381,1617,116390.53125,ok
17,9,3,3,16,2,8,512,8614,4497,1588,1882,7478,4001,1435,1679,224667.109375,ok
17,9,3,3,8,4,2,512,8110,4241,1504,1740,6087,3432,1275,1495,59038.58984375,ok
17,9,3,3,8,2,4,512,8136,4241,1498,1882,6788,3705,1351,1586,114655.4921875,ok
17,9,4,2,64,32,2,512,19704,9673,4618,2086,9058,4899,2321,1414,72676.3203125,ok
17,9,4,2,64,16,4,512,12938,6845,3108,1886,8432,4593,2157,1427,126892.421875,ok
17,9,4,2,64,8,8,512,10702,5625,2592,1718,8664,4643,2166,1432,235072.359375,ok
17,9,4,2,64,4,16,512,10966,5753,2640,1672,9112,4835,2237,1466,449423.625,ok
17,9,4,2,64,2,32,512,11450,6033,2760,1726,9513,5030,2312,1499,890819.6875,ok
17,9,4,2,32,16,2,512,10308,5421,2448,1718,6768,3808,1811,1244,63956.71875,ok
